fold,model,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n
3,NeuralNet,18.93903067339034,28.813433226778578,59.416067609584445,0.3244572068373284,0.3819405132113429,0.509086739144621,5.969264492534456,0.10226346414033576,210
3,XGBoost,11.835086672646659,17.4832942150927,28.076425224573043,0.2027547888118615,0.27490990305973373,0.311811640708051,-1.0301289944421677,-0.017647829077570176,210
3,LightGBM,12.58172566635268,20.484062965310557,28.271849788575537,0.21554596099967882,0.26724144432258146,0.31091111082061434,-1.1891518425373804,-0.020372155892710873,210
3,SeasonalNaive,28.80952380952381,45.18965326161246,68.78794794314264,0.4935552292380486,0.45622282282860344,0.576641301927364,12.685714285714285,0.2173274596182085,210
3,MovingAvg28,37.012736205593356,47.921559895628064,187.80261831969878,0.6340899496797686,0.6413502002578965,0.9356853160390629,21.215608465608465,0.36345878428599915,210
2,NeuralNet,12.950582625752403,20.1980746347645,195.37652465459368,0.8727927957021838,0.7301048725583493,0.9608954472992366,10.992205523309254,0.7408097432268752,210
2,XGBoost,6.070591950877791,10.10750927493079,84.3671565819075,0.4091220506047292,0.5602343604348621,0.660737297666646,-1.722733205308517,-0.11610204528715935,210
2,LightGBM,5.953213454073384,9.787071527988422,83.49963962392891,0.40121143304088913,0.5345100980502853,0.6559367710775103,-1.0665792268656549,-0.07188114173356468,210
2,SeasonalNaive,43.99047619047619,65.41195463769455,639.8297533518556,2.9646983311938384,1.1180788468067364,1.6533843352680877,43.53333333333333,2.9338896020539154,210
2,MovingAvg28,55.63809523809524,68.00290484991955,887.171101764017,3.749679075738126,1.356299453408658,1.9364294498698782,55.63809523809524,3.749679075738126,210
1,NeuralNet,6.880279815764654,9.58022805496207,76.19711300577814,0.38213667318449546,0.5348666861650916,0.6395061475537561,-2.448709610530308,-0.13600344306039797,210
1,XGBoost,6.794314754647868,10.429069446210427,57.77326503731185,0.3773620995704978,0.49219427291222523,0.5406757542453714,1.0438930126173156,0.05797871797133993,210
1,LightGBM,6.366951037588573,9.191442343380166,60.34989376086117,0.3536259502495637,0.4821911482658796,0.5458431185393354,0.15051846844809397,0.008359925515498474,210
1,SeasonalNaive,8.357142857142858,11.490990259453584,89.07404318613001,0.46416291986247027,0.6648094282853053,0.869601579471231,-3.1666666666666665,-0.17587939698492464,210
1,MovingAvg28,32.3704081632653,46.57350911946275,655.7937041579523,1.7978803793403104,0.93195218047567,1.4493469227661622,30.688095238095244,1.7044432689764615,210
0,NeuralNet,7.120540496281215,9.174213740456455,39.855666753712285,0.3119135386355977,0.4100686858669687,0.533085465448678,-3.815917955126081,-0.16715535473017878,210
0,XGBoost,7.156334938942677,9.789384088757037,34.13805370397067,0.3134815054605678,0.3925839497608711,0.6520812177908563,-3.8627906703345833,-0.16920860258036347,210
0,LightGBM,7.467768278984087,10.37837469213383,35.66902723198598,0.32712376691419653,0.40623277844649464,0.6592313760019612,-4.234777520224452,-0.1855033957545129,210
0,SeasonalNaive,11.938095238095238,16.375213557313355,60.7877608980828,0.5229453483521068,0.6897035196959288,0.9762056923969371,-4.8238095238095235,-0.21130579891531082,210
0,MovingAvg28,23.654591836734696,37.386497730932675,306.24922424892463,1.0361836223851244,0.6653000539614558,1.1556112014656172,17.73928571428571,0.7770650813516894,210
