fold,model,regime,comparison_population,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy
3,NeuralNet,realized,common,17.806597040030375,29.47364016044829,59.3916952245934,0.30640365399031355,0.35225920227996743,0.4854862543584702,11.40687389579116,0.1962816272205131,209,direct
3,XGBoost,realized,common,12.713193508426539,20.277411206563695,30.347606072935,0.21875987512441517,0.27488645910879483,0.3210385736948932,0.25448727094385615,0.004379041629117893,209,direct
3,LightGBM,realized,common,12.005757123659672,18.488027602391416,34.11198212852085,0.20658679720441886,0.2729791543673225,0.3492305002883026,2.1036634713268736,0.036198391693340735,209,direct
3,DynamicRidge,realized,common,23.666443662780324,84.85741352679126,60.84108964806503,0.4072358575268473,0.36522744519508993,0.5284700511106385,11.256690237510718,0.1936973702980191,209,direct
3,SeasonalNaive,realized,common,28.660287081339714,45.10710274117979,68.86075425592597,0.4931664745595258,0.45490471520085257,0.5756419171995594,13.033492822966506,0.22427136505845546,209,direct
3,MovingAvg28,realized,common,36.92241968557759,47.88025192965752,188.4624356626122,0.6353355602079462,0.6412375018673926,0.9367326328319948,21.58452950558214,0.3714117130468193,209,direct
3,NeuralNet,conditional,common,17.806597040030375,29.47364016044829,59.3916952245934,0.30640365399031355,0.35225920227996743,0.4854862543584702,11.40687389579116,0.1962816272205131,209,direct
3,XGBoost,conditional,common,12.713193508426539,20.277411206563695,30.347606072935,0.21875987512441517,0.27488645910879483,0.3210385736948932,0.25448727094385615,0.004379041629117893,209,direct
3,LightGBM,conditional,common,12.005757123659672,18.488027602391416,34.11198212852085,0.20658679720441886,0.2729791543673225,0.3492305002883026,2.1036634713268736,0.036198391693340735,209,direct
3,DynamicRidge,conditional,common,23.666443662780324,84.85741352679126,60.84108964806503,0.4072358575268473,0.36522744519508993,0.5284700511106385,11.256690237510718,0.1936973702980191,209,direct
3,SeasonalNaive,conditional,common,28.660287081339714,45.10710274117979,68.86075425592597,0.4931664745595258,0.45490471520085257,0.5756419171995594,13.033492822966506,0.22427136505845546,209,direct
3,MovingAvg28,conditional,common,36.92241968557759,47.88025192965752,188.4624356626122,0.6353355602079462,0.6412375018673926,0.9367326328319948,21.58452950558214,0.3714117130468193,209,direct
2,NeuralNet,realized,common,10.295659216528847,14.555775642971188,163.13838168908896,0.6938666352602881,0.6958018006455248,0.8736776873743201,8.217999164547239,0.5538446163526701,210,direct
2,XGBoost,realized,common,6.29002020642871,9.667770192631751,99.49715621233399,0.4239102193036037,0.5641157256271204,0.6689780058483064,1.3534770273026966,0.09121635934966825,210,direct
2,LightGBM,realized,common,6.653223813626738,9.61461580980579,100.8427945882175,0.448387997709119,0.5864341402633518,0.667081851356629,2.4861159528117804,0.16754953468885556,210,direct
2,DynamicRidge,realized,common,10.768216578733353,14.669319652735911,203.01226800337977,0.725714211018615,0.7369637518738547,0.9677952703335971,6.337518292949313,0.4271113098585866,210,direct
2,SeasonalNaive,realized,common,43.99047619047619,65.41195463769455,639.8297533518556,2.9646983311938384,1.1180788468067362,1.6533843352680877,43.53333333333333,2.9338896020539154,210,direct
2,MovingAvg28,realized,common,55.63809523809524,68.00290484991955,887.171101764017,3.749679075738126,1.356299453408658,1.9364294498698782,55.63809523809524,3.749679075738126,210,direct
2,NeuralNet,conditional,common,10.295659216528847,14.555775642971188,163.13838168908896,0.6938666352602881,0.6958018006455248,0.8736776873743201,8.217999164547239,0.5538446163526701,210,direct
2,XGBoost,conditional,common,6.29002020642871,9.667770192631751,99.49715621233399,0.4239102193036037,0.5641157256271204,0.6689780058483064,1.3534770273026966,0.09121635934966825,210,direct
2,LightGBM,conditional,common,6.653223813626738,9.61461580980579,100.8427945882175,0.448387997709119,0.5864341402633518,0.667081851356629,2.4861159528117804,0.16754953468885556,210,direct
