model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
SeasonalNaive,conditional,common,mean_fold,12,341,341,341,341,1.0,31.232113051380296,42.593724146390066,162.6947385155683,0.8415463967186421,0.5519772337371128,0.8029598834636033,6.056335142613879,0.5021313397518664,28.416666666666668,direct,2,development
MovingAvg28,conditional,common,global,12,341,341,341,341,1.0,34.806242381067065,56.215625539794445,126.05617196266832,0.6324698205234929,0.6093208515416042,0.8559747478943277,-7.406249070134063,-0.13458014136820395,341.0,direct,2,development
MovingAvg28,conditional,common,mean_fold,12,341,341,341,341,1.0,33.912025249860655,42.53411248398529,123.54653240132222,0.7429716711231374,0.6050167005367209,0.7985404258717783,-7.206566387411535,0.3407143189373836,28.416666666666668,direct,2,development
NeuralNet,conditional,model_specific,global,12,341,341,341,341,1.0,17.755971382512037,30.267150948729057,50.37177219713993,0.3226466077713207,0.37374496665668916,0.5114422743604798,-3.5788700231843444,-0.06503222199221259,341.0,direct,2,development
NeuralNet,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,17.404822637302612,23.38221880262886,49.940385646833306,0.3742435725776969,0.37326843327450426,0.4885720968684537,-3.5346885160590245,0.08632992862084837,28.416666666666668,direct,2,development
XGBoost,conditional,model_specific,global,12,341,341,341,341,1.0,14.299298175618796,25.256416024078895,33.60826259215628,0.25983484375391713,0.31501766370292844,0.40962547062475135,-6.67584674134632,-0.12130788334216643,341.0,direct,2,development
XGBoost,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,13.999492136691943,18.664214580994162,33.657654120317225,0.2712838471120525,0.3150538014564244,0.3950355722074281,-6.318428942161307,-0.018300254572794997,28.416666666666668,direct,2,development
LightGBM,conditional,model_specific,global,12,341,341,341,341,1.0,14.591354886457717,25.438020989613165,37.92274372245284,0.26514185315368655,0.32465055287474115,0.42211763890409343,-5.365224704364877,-0.09749235980967831,341.0,direct,2,development
LightGBM,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,14.27882589877244,18.86602696309101,37.79614586361418,0.28550905215715694,0.3240796160272996,0.411784572197151,-5.089891392219642,0.008272474222662111,28.416666666666668,direct,2,development
DynamicRidge,conditional,model_specific,global,12,341,341,341,341,1.0,24.64201143569698,64.26033892092394,63.389295587015646,0.44777394754197325,0.394040510873655,0.5738515768841205,7.397375070257795,0.13441889049120262,341.0,direct,2,development
DynamicRidge,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,24.036089702902103,38.8323828945967,62.649164973360875,0.4076186359788229,0.39379313592945375,0.5459516918486065,7.249373756672331,0.13869708452249327,28.416666666666668,direct,2,development
SeasonalNaive,conditional,model_specific,global,12,341,341,341,341,1.0,32.05180840664712,54.84657649666949,166.66505930653796,0.5824185583857331,0.5543121548355554,0.8895156292428996,6.4584555229716525,0.11735763259796086,341.0,direct,2,development
SeasonalNaive,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,31.232113051380296,42.593724146390066,162.6947385155683,0.8415463967186421,0.5519772337371128,0.8029598834636033,6.056335142613879,0.5021313397518664,28.416666666666668,direct,2,development
MovingAvg28,conditional,model_specific,global,12,341,341,341,341,1.0,34.806242381067065,56.215625539794445,126.05617196266832,0.6324698205234929,0.6093208515416042,0.8559747478943277,-7.406249070134063,-0.13458014136820395,341.0,direct,2,development
MovingAvg28,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,33.912025249860655,42.53411248398529,123.54653240132222,0.7429716711231374,0.6050167005367209,0.7985404258717783,-7.206566387411535,0.3407143189373836,28.416666666666668,direct,2,development
NeuralNet,realized,common,global,12,347,347,347,344,1.0,13.275835833103953,20.71936007927129,83.0406227660665,0.38993233662805327,0.41927402980004,0.6193045572603341,3.4480601340604022,0.10127499027636427,344.0,direct,3,development
NeuralNet,realized,common,mean_fold,12,347,347,347,344,1.0,13.142822472446563,17.64398358361543,81.77421427068307,0.45348746109335164,0.41904438587621873,0.5634343307891148,3.205436625372881,0.23657722173607118,28.666666666666668,direct,3,development
XGBoost,realized,common,global,12,347,347,347,344,1.0,10.926311731944944,18.108479704953016,52.94064798949929,0.32092309048745393,0.3625745909880417,0.5275797031617689,2.577350508594929,0.07570086876337564,344.0,direct,3,development
XGBoost,realized,common,mean_fold,12,347,347,347,344,1.0,10.842883766050692,15.257914537993935,52.636305694254766,0.3370930257822888,0.3640434745699283,0.5032714320434327,2.4220877257762132,0.11789945720671352,28.666666666666668,direct,3,development
LightGBM,realized,common,global,12,347,347,347,344,1.0,11.27664189006007,18.676746684239895,56.153943713972886,0.3312128423993053,0.3680178174360028,0.5334883117161947,3.6720347896564838,0.10785348084373553,344.0,direct,3,development
LightGBM,realized,common,mean_fold,12,347,347,347,344,1.0,11.146580625919649,15.683461415758508,55.680905015351925,0.3542467575309413,0.36808509241620807,0.5073241642506326,3.4801108660962847,0.15257558916641298,28.666666666666668,direct,3,development
DynamicRidge,realized,common,global,12,347,347,347,344,1.0,19.077278727708862,41.560615292440275,90.83829695650732,0.5603299079859843,0.4643586875670155,0.6794659000338323,12.86269155768461,0.3777976345494797,344.0,direct,3,development
DynamicRidge,realized,common,mean_fold,12,347,347,347,344,1.0,18.904535094661476,29.6593584820116,89.62285269451917,0.5507317537028589,0.4641313017271742,0.6265234346045173,12.646224554732994,0.35660603952530895,28.666666666666668,direct,3,development
SeasonalNaive,realized,common,global,12,347,347,344,344,0.9913544668587896,29.664001937984494,51.552643036390165,188.97539031498874,0.8712787454462659,0.6657354913817097,0.9712960771134038,20.053536821705425,0.5890041552823314,344.0,direct,3,development
SeasonalNaive,realized,common,mean_fold,12,347,347,344,344,0.9913544668587896,29.004614197530866,39.076852425849694,183.81668542550156,1.087008638142544,0.6627738978729331,0.8887464849464193,18.99733024691358,0.8563095068837359,28.666666666666668,direct,3,development
MovingAvg28,realized,common,global,12,347,347,344,344,0.9913544668587896,25.575288586960735,40.983328676073846,169.754210440795,0.751186754944885,0.6222889104050257,0.9261452158452779,13.242718142762378,0.38895961758113545,344.0,direct,3,development
MovingAvg28,realized,common,mean_fold,12,347,347,344,344,0.9913544668587896,25.33255910152649,32.448795350244254,167.68886371207495,0.9743877100672845,0.6247271329382341,0.839347047504647,12.640378031567643,0.7719670680135753,28.666666666666668,direct,3,development
NeuralNet,realized,model_specific,global,12,347,347,347,347,1.0,13.241466060131721,20.657060285699274,90.36338287988919,0.392314610900419,0.4329402485217625,0.6498790726968705,3.4986567215986324,0.10365726454872998,347.0,direct,3,development
NeuralNet,realized,model_specific,mean_fold,12,347,347,347,347,1.0,13.10551669091364,17.59851931456047,89.65607316833264,0.456541474378043,0.4336387664910914,0.5958392443669301,3.3444778267398902,0.23963123502076253,28.916666666666668,direct,3,development
XGBoost,realized,model_specific,global,12,347,347,347,347,1.0,10.909327311113863,18.050276250041826,60.23088479865346,0.3232186284969698,0.3767310066073802,0.5666729927363455,2.6325473087150013,0.07799640677289152,347.0,direct,3,development
XGBoost,realized,model_specific,mean_fold,12,347,347,347,347,1.0,10.816719516301674,15.211689023652141,60.35674451261301,0.3406011700575959,0.3786496700221471,0.5398526500764235,2.531592479501652,0.12140760148202058,28.916666666666668,direct,3,development
LightGBM,realized,model_specific,global,12,347,347,347,347,1.0,11.276462766553895,18.62894331918767,65.39980870017416,0.334096019466718,0.38212717346415287,0.5789376959964965,3.7376015488627323,0.11073665791114823,347.0,direct,3,development
LightGBM,realized,model_specific,mean_fold,12,347,347,347,347,1.0,11.148425631676693,15.654454757918863,65.49309656161843,0.35849959147373794,0.38285114027443373,0.550509978839805,3.601390425617442,0.15682842310920966,28.916666666666668,direct,3,development
DynamicRidge,realized,model_specific,global,12,347,347,347,347,1.0,19.833871445669566,43.14256299334553,182.20554779420053,0.5876326324835501,0.47763512540677266,0.7815183105589139,13.673012694982699,0.4051003590470455,347.0,direct,3,development
DynamicRidge,realized,model_specific,mean_fold,12,347,347,347,347,1.0,19.662696432827882,32.026944746289296,184.2312808471961,0.5785925387341603,0.47816100069329254,0.7110210827421244,13.491830046739478,0.38446682455661035,28.916666666666668,direct,3,development
SeasonalNaive,realized,model_specific,global,12,347,347,344,344,0.9913544668587896,29.664001937984494,51.552643036390165,188.97539031498874,0.8712787454462659,0.6657354913817097,0.9712960771134038,20.053536821705425,0.5890041552823314,344.0,direct,3,development
SeasonalNaive,realized,model_specific,mean_fold,12,347,347,344,344,0.9913544668587896,29.004614197530866,39.076852425849694,183.81668542550156,1.087008638142544,0.6627738978729331,0.8887464849464193,18.99733024691358,0.8563095068837359,28.666666666666668,direct,3,development
MovingAvg28,realized,model_specific,global,12,347,347,344,344,0.9913544668587896,25.575288586960735,40.983328676073846,169.754210440795,0.751186754944885,0.6222889104050257,0.9261452158452779,13.242718142762378,0.38895961758113545,344.0,direct,3,development
MovingAvg28,realized,model_specific,mean_fold,12,347,347,344,344,0.9913544668587896,25.33255910152649,32.448795350244254,167.68886371207495,0.9743877100672845,0.6247271329382341,0.839347047504647,12.640378031567643,0.7719670680135753,28.666666666666668,direct,3,development
NeuralNet,conditional,common,global,12,342,342,342,342,1.0,13.338591430870801,20.77880416098549,82.03815353371992,0.38949780305309206,0.41003001833266645,0.6136184385118432,3.4533433593182217,0.100840456701403,342.0,direct,3,development
NeuralNet,conditional,common,mean_fold,12,342,342,342,342,1.0,13.16571420710733,17.66788071525016,80.5119537980596,0.45257023999073337,0.4085176975199716,0.5547231571840742,3.2084066873291683,0.2356600006334529,28.5,direct,3,development
XGBoost,conditional,common,global,12,342,342,342,342,1.0,10.985254013224653,18.16121624868176,52.75481456656371,0.32077842149272806,0.35299900396690326,0.5269545042531765,2.5874684552351632,0.07555619976864975,342.0,direct,3,development
XGBoost,conditional,common,mean_fold,12,342,342,342,342,1.0,10.876441705263689,15.281970604264325,52.427149858185324,0.33665422538862017,0.3534894032023779,0.5017207606614642,2.4386046057854625,0.11746065681304495,28.5,direct,3,development
LightGBM,conditional,common,global,12,342,342,342,342,1.0,11.33403547221457,18.730828946303646,55.627160144089416,0.3309631259816755,0.35847406210425165,0.5304810310363348,3.684956985258917,0.10760376442610566,342.0,direct,3,development
